n,method,encoding,backend,status,runs,solve_time_mean_sec,solve_time_median_sec,solve_time_std_sec,solve_time_min_sec,solve_time_max_sec,total_time_mean_sec,total_time_median_sec,total_time_std_sec,total_time_min_sec,total_time_max_sec
8,sat,binary,glucose3,SAT,1,0.0001649000005272,0.0001649000005272,,0.0001649000005272,0.0001649000005272,0.0030260000003181,0.0030260000003181,,0.0030260000003181,0.0030260000003181
16,sat,binary,glucose3,SAT,1,0.0909321999988606,0.0909321999988606,,0.0909321999988606,0.0909321999988606,0.0937968999987788,0.0937968999987788,,0.0937968999987788,0.0937968999987788
20,sat,binary,glucose3,SAT,1,1.2080636999999117,1.2080636999999117,,1.2080636999999117,1.2080636999999117,1.2325519000005445,1.2325519000005445,,1.2325519000005445,1.2325519000005445
25,sat,binary,glucose3,SAT,1,7.616319300001123,7.616319300001123,,7.616319300001123,7.616319300001123,7.631749500000296,7.631749500000296,,7.631749500000296,7.631749500000296
30,sat,binary,glucose3,SAT,1,0.0971707999997306,0.0971707999997306,,0.0971707999997306,0.0971707999997306,0.1267572999986441,0.1267572999986441,,0.1267572999986441,0.1267572999986441
8,sat,commander,glucose3,SAT,1,0.0001222000009875,0.0001222000009875,,0.0001222000009875,0.0001222000009875,0.0011780000004364,0.0011780000004364,,0.0011780000004364,0.0011780000004364
16,sat,commander,glucose3,SAT,1,0.0290781999992759,0.0290781999992759,,0.0290781999992759,0.0290781999992759,0.0315675999991071,0.0315675999991071,,0.0315675999991071,0.0315675999991071
20,sat,commander,glucose3,SAT,1,0.0181957999993755,0.0181957999993755,,0.0181957999993755,0.0181957999993755,0.0281675999995059,0.0281675999995059,,0.0281675999995059,0.0281675999995059
25,sat,commander,glucose3,SAT,1,0.4294666999994661,0.4294666999994661,,0.4294666999994661,0.4294666999994661,0.4369189999997616,0.4369189999997616,,0.4369189999997616,0.4369189999997616
30,sat,commander,glucose3,SAT,1,0.0469348000005993,0.0469348000005993,,0.0469348000005993,0.0469348000005993,0.0576934000000619,0.0576934000000619,,0.0576934000000619,0.0576934000000619
8,sat,pairwise,glucose3,SAT,1,7.860000005166512e-05,7.860000005166512e-05,,7.860000005166512e-05,7.860000005166512e-05,0.0013441000010061,0.0013441000010061,,0.0013441000010061,0.0013441000010061
16,sat,pairwise,glucose3,SAT,1,0.0087776000000303,0.0087776000000303,,0.0087776000000303,0.0087776000000303,0.0147111000005679,0.0147111000005679,,0.0147111000005679,0.0147111000005679
20,sat,pairwise,glucose3,SAT,1,0.0010149999998247,0.0010149999998247,,0.0010149999998247,0.0010149999998247,0.0078024999984336,0.0078024999984336,,0.0078024999984336,0.0078024999984336
25,sat,pairwise,glucose3,SAT,1,0.0014702000007673,0.0014702000007673,,0.0014702000007673,0.0014702000007673,0.0143557000010332,0.0143557000010332,,0.0143557000010332,0.0143557000010332
30,sat,pairwise,glucose3,SAT,1,0.0013863000003766,0.0013863000003766,,0.0013863000003766,0.0013863000003766,0.0283371999994415,0.0283371999994415,,0.0283371999994415,0.0283371999994415
8,sat,product,glucose3,SAT,1,0.0007495999998354,0.0007495999998354,,0.0007495999998354,0.0007495999998354,0.0057658000005176,0.0057658000005176,,0.0057658000005176,0.0057658000005176
16,sat,product,glucose3,SAT,1,0.3284999000006792,0.3284999000006792,,0.3284999000006792,0.3284999000006792,0.3326446000010037,0.3326446000010037,,0.3326446000010037,0.3326446000010037
20,sat,product,glucose3,SAT,1,0.3902725999996619,0.3902725999996619,,0.3902725999996619,0.3902725999996619,0.3938710000002174,0.3938710000002174,,0.3938710000002174,0.3938710000002174
25,sat,product,glucose3,SAT,1,21.986632299998742,21.986632299998742,,21.986632299998742,21.986632299998742,22.0150941999982,22.0150941999982,,22.0150941999982,22.0150941999982
8,sat,sequential,glucose3,SAT,1,0.0001283999990846,0.0001283999990846,,0.0001283999990846,0.0001283999990846,0.0017576999998709,0.0017576999998709,,0.0017576999998709,0.0017576999998709
16,sat,sequential,glucose3,SAT,1,0.0039497999987361,0.0039497999987361,,0.0039497999987361,0.0039497999987361,0.0091930999988107,0.0091930999988107,,0.0091930999988107,0.0091930999988107
20,sat,sequential,glucose3,SAT,1,0.0470298999989609,0.0470298999989609,,0.0470298999989609,0.0470298999989609,0.0547875999982352,0.0547875999982352,,0.0547875999982352,0.0547875999982352
25,sat,sequential,glucose3,SAT,1,0.0238552999999228,0.0238552999999228,,0.0238552999999228,0.0238552999999228,0.0413108000011561,0.0413108000011561,,0.0413108000011561,0.0413108000011561
30,sat,sequential,glucose3,SAT,1,0.1891646999993099,0.1891646999993099,,0.1891646999993099,0.1891646999993099,0.2043013999991672,0.2043013999991672,,0.2043013999991672,0.2043013999991672
